0	Not Specified
1	Linux
2	Macintosh
3	IRIX
4	Windows NT
5	Windows 95
6	SunOS
7	FreeBSD
8	Windows 98
9	VMS
10	OSF/1
11	OS/2
12	Windows 3.x
13	Amiga OS
14	AIX
15	HP-UX
16	SEGA Saturn
17	WebTV
18	Acorn RICS OS
19	BeOS
20	Perl LWP::UserAgent Library
21	HotJava Browser (OS unavailable)
22	Windows 9x/NT
23	Windows 2000/NT 5
24	Keynote
25	Windows ME
31	Windows XP
32	Pocket PC
33	Windows CE
34	PalmOS
35	Offline Data Import
36	Windows Vista
37	Media Center 2004
38	Media Center 2005
39	Windows Server 2003 and XP x64 Edition
40	Macintosh (iPhone)
41	Windows 7
42	Playstation 3
43	Adobe AIR
44	Windows 8
45	Windows 8.1
134	iOS 40.11301
57784	iOS 25.31208
146117	OS X 10.14.73
181242	iOS 3184
263706	iOS 10..105
322633	iOS 4106
385133	Android 11-42-25-3
402283	iOS 31.12238
422894	Android 68.0.0
433032	iOS 31.10518
510236	iOS 15.20320
534231	iOS 84.1
554393	iOS 15.1702
611028	OS X 10.508.910
645073	OS X 46.7.3
648911	Android 9it-ITRedmi
649966	iOS 15.10352
761915	Mobile OS X 9.34
804840	iOS 21.10466
873479	Mobile iOS 13.4.3
900382	iOS 32.30662
1076350	iOS 15.8630
1136959	iOS 7432
1153510	iOS 27.24967
1262906	Mobile OS X 10.14.4
1264529	Android 200000.200000.30000
1296227	iOS 35.6.2
1299035	Android 11.6
1338886	iOS 43.1157
1503748	OS X 4.31
1572635	iOS 30.4849
1576476	iOS 50.19591
1601535	iOS 39.7076
1626136	Android 1.7.4-R-20150415
1649517	OS X 247.885.4
1737895	Mobile iOS 13.5.5
1748047	iOS 9.0.69
1772640	iOS 34.16221
1890723	Android 2.1.0-R-20160901
2159061	OS X 10.41.8
2231136	iOS 10.52
2280884	iOS 24.5117
2285730	iOS 11..21
2310315	Android 11-38-8
2340958	iOS 43.28322
2427419	OS X 10.15.82553
2435079	iOS 44.3939
2521934	iOS 47.3904
2601873	iOS 6582
2611878	Linux - Red Hat 1.0.9-38
2712899	iOS 44.14798
2835242	Mobile OS X 10.19
2859107	iOS 38.23088
2880348	iOS 11..6
2898842	OS X 7.3.9
2904609	iOS 31.28253
2967284	iOS 19.7776
3009869	iOS 13.2.3.1
3059545	OS X 10.69.33
3096463	Android _Dressapp
3109395	iOS 46.4742
3127725	Windows NT 3029
3138208	Android 92.16
3151763	Android 2.0.0-R-20130404
3267281	iOS 46.2978
3275385	Linux - Fedora 2.20.3-5
3293585	iOS 32.6465
3332773	iOS 38.7846
3347499	Android 5.Q
3362440	iOS 38.26373
3409139	Android 26.10.85
3429904	iOS 25.8904
3503969	iOS 7446
3582173	iOS 10737
3640160	iOS 12.32750
3643058	OS X 9.134.61
3697597	OS X 10.72.7
3729094	OS X 0.69
3743306	Android 2.0.0-R-20160912
3747790	Mobile Android 2.2
3781128	iOS 43.26097
3791507	iOS 45.24666
3824737	iOS 20.13029
4031417	Android 5.0.1performence
4086001	iOS 1345
4101192	OS X 10.15.314
4122492	iOS 42.8524
4153978	iOS 37.25005
4170995	OS X 17.10.76
4238000	Android 5AppleWebKit
4241179	Android 8.1.0fr-fr
4252297	Android 57.656.37
4284852	iOS 16.14704
4345758	iOS 26.13991
4408165	OS X 10.13.140
4492505	Tizen 7.0
4590041	iOS 24.21812
4709273	Mobile iOS 12.5.1
5064745	tvOS 13.1.0
5150707	iOS 19.1002
5169434	iOS 26.20226
5247945	iOS 57
5503697	iOS 34.32316
5528970	Android 5.3_r1
5598175	iOS 24.31203
5606487	Android 1.8.0-R-20141223
5736677	Android 3.1.2-R-20160602
5768876	iOS 18.24307
5782364	iOS 34.17582
5816862	Android 4ppleWebKit
5865199	iOS 38.17918
5949262	Android 8.1.0_port_mehanik6
5980154	Android 16.2.2
5987511	iOS 17.18073
6089230	iOS 4285
6122535	iOS 5478
6221711	iOS 5695
6248497	iOS 3.0.9
6291927	Android 957
6331265	iOS 22.20814
6340304	iOS 10488
6387880	iOS 21.7539
6611603	iOS 22.8555
6682285	iOS 25.31261
6728331	iOS 6549
6769948	iOS 25.9367
6812105	Windows 10 NT 10.0.18247
6834993	iOS 22.16109
6852735	Windows 10 NT 10.0.17643
6902129	Android 11-57-12-3
6920663	iOS 26.23124
6925349	iOS 31.16730
6996323	iOS 49.19523
7091345	iOS 30.1019
7096167	iOS 46.10050
7124683	Android 4.8.3
7159190	Android 5.1.5452256
7202956	iOS 34.23337
7251212	iOS 4202
7344816	Windows Phone 8.10.15084
7396291	Android 13.9.0
7426828	Android Linux
7465527	iOS 7.6.66
7535095	iOS 39.29235
7548775	Windows NT 3488
7549116	iOS 2179
7598529	iOS 3.6.1
7598574	iOS 12.28152
7612941	Android 5.0.1000
7616255	iOS 3909
7720939	iOS 21.10505
7743830	iOS 11..146
7826242	OS X 10.276.796
7832669	Android 2.5.0-RS-20170401
7833089	Android 300.9.9
7864791	Android 13.13.8
7882353	iOS 26.29531
7931583	iOS 47.10927
7943245	iOS 40.18475
7986017	iOS 19.26532
7991172	Android 99.1.1
8034044	iOS 674
8117161	iOS 27.25779
8269035	iOS 34.311
8295626	iOS 47.9257
8323017	iOS 15.31757
8362786	OS X 16.16.9
8394002	iOS 1081
8398956	OS X 10.294.368
8465984	iOS 31.17173
8488077	Android 5.2.1567
8623320	Mobile OS X 8.4
8653375	iOS 18.5855
8709299	Android Rama
8782538	iOS 34.22451
8803542	Rex AMSS7500/4.0
8998101	Roku OS 7.52
9077721	iOS 14.23955
9080415	iOS 21.12567
9120821	iOS 20.19705
9180060	OS X 10.11.143
9186093	Mobile iOS 4.3.5
9191851	Android 7.9.80
9199870	iOS 110.1
9229316	iOS 13.14584
9247456	iOS 13.17511
9311678	Android 20.30.10
9460872	iOS 4913
9487613	Android 29.4.0
9519562	Windows 10 NT 10.4081
9521427	iOS 42.26602
9560992	iOS 18.23301
9597838	Windows 10 NT 10.0.15060
9598636	Symbian v9.4
9631324	iOS 9516
9663137	OS X 10.14.487
9795790	iOS 2913
9803814	iOS 5619
9831406	Android 1.2.0-R-20140124
9853138	iOS 24.10953
9869526	Linux - Fedora 3.6.4-2
9897447	iOS 12..307
9901094	iOS 11..197
9924580	iOS 11..111
9983360	OS X 73.7.5
9996879	iOS 38.26401
10002142	iOS 9..111
10060180	Android 9en-iq
10110624	Android 16.6.4
10167596	Android 8.0.0en-hk
10203780	Android 806066.0.1
10322447	iOS 20.11956
10360145	iOS 12..353
10386847	Android 6.0en-INLenovo
10434407	Mobile OS X 9.53
10459743	Android 0.000
10498403	Android 9arSM-A307FNPPR1.180610.011
10655324	iOS 43.9687
10655819	Android 11-57-12-10
10683870	iOS 38.11630
10699750	Android 1089907396.0
10721607	OS X 10.39.98
10760888	iOS 18.21160
10796835	iOS 40.17178
10824759	iOS 36.8010
10827802	Android 442.0
10850584	iOS 15.1.46
10904901	iOS 35.26114
10920012	iOS 38.12192
10926742	OS X 20.6.5
10928413	iOS 21.18886
10949975	Android 4.4.o-mobi
11064613	iOS 16.25424
11138586	iOS 9180
11225340	Windows NT 4031
11225977	OS X 10.37.0
11308283	Mobile iOS 14.5.9
11326928	Android Genocide
11344940	Android 1.2.9
11348848	Android 7.0ruB501NRD90M
11364344	iOS 5106
11435262	Android 3.0.2-R-20171017
11474461	iOS 12.26102
11501784	iOS 1515
11563334	iOS 20.12.5
11565660	iOS 49.32706
11604056	OS X 10.10.0
11608843	Android 7.0-W09
11627354	Mobile iOS 10.3.0
11642237	iOS 50.20429
11656389	iOS 44.22381
11718451	iOS 40.13010
11757504	iOS 3619
11784929	iOS 26.4547
11814701	Android 7.0es-mx
11837947	iOS 6571
11984539	iOS 11..1290
11994276	Windows 10 NT 10.4902
12007029	iOS 10..206
12026341	Mobile iOS 2.1.3
12091076	iOS 11.29441
12096134	iOS 27.11655
12126725	Android 4.mtrdc.net
12129712	iOS 15.9457
12272903	iOS 3307
12319987	iOS 24.30095
12344899	iOS 87.7
12373224	Android 8K
12429713	Android 4.1.0-R-20170829
12443200	iOS 10..45
12460034	Android 119.0.1
12567749	iOS 36.26929
12570987	iOS 9737
12596280	Android Bauti
12621818	iOS 50.20901
12654240	iOS 42.6
12671042	Mobile OS X 13.1.2
12770470	Mobile iOS 5.6
12847422	iOS 27.28803
12925451	iOS 38.18423
12944255	iOS 23.25211
13004410	iOS 43.7618
13036868	iOS 15.16364
13063985	iOS 29.17076
13074691	Android 9ar-DZSM-M205FPPR1.180610.011
13103615	Android 10.8
13125643	iOS 27.31556
13374654	iOS 857
13421704	iOS 22.27107
13438128	iOS 38.24038
13465715	iOS 48.28727
13509930	iOS 44.30044
13535781	Android 2.1.0-R-20191111
13586074	iOS 40.436
13592150	iOS 33.14051
13621846	Windows NT 4060
13709053	Android 2.0.12
13778723	iOS 91.5
13802318	Android 555.555.555
13890139	OS X 10.54.0
13896894	iOS 2952
14093018	iOS 50.28886
14134164	OS X 35.4.5
14140473	iOS 52.63.33.5.4
14184067	iOS 50.2081
14251395	iOS 8816
14252307	iOS 24.25494
14304079	iOS 45.1705
14304277	Android 6.0en-be
14383874	Android 11-L31CQ
14385591	iOS 11036
14475560	iOS 12..949
14494013	Android 6.0.1ru-ru
14528600	iOS 37.9289
14643290	iOS 7107
14669496	OS X 11.94
14783384	Android 6.0.2QvopEudZIDQ3ns3TWzWEZ5k1iU
14821548	iOS 32.17082
14835604	iOS 50.23663
14973550	iOS 31.24646
14984675	Android 2.1.0-R-20180228
14988913	OS X 26.7.8
15062264	Android 20200130
15106134	Android 1.11.2
15129907	OS X 10.15.196
15132023	Android 9-35-23-7
15133150	Android 6.0HuaweiCAM-TL00CAM-TL00C01B243
15148492	iOS 17.4775
15149934	Android 7.1.2-RS-20210621
15154045	iOS 29.27460
15185996	iOS 39.394
15262270	iOS 22.6687
15265491	Android 862667032840285
15277921	Mobile iOS 13.9.4
15322945	OS X 10.649.167
15398889	iOS 35.31224
15423533	iOS 7481
15442755	iOS 15.14666
15515555	OS X 10.11.97
15555843	iOS 45.13498
15569665	Android 8.0.0fr-dz
15571306	iOS 26.1081
15594633	Android 8.1.2000
15602871	Android 2.1.0-R-20170106
15636959	OS X 10.121.149
15669536	iOS 39.19398
15824549	Android 9_Phone-202011271133
16057004	OS X 10.15.619
16144958	iOS 11.3.342343
16198683	iOS 38.28049
16295963	iOS 1436
16415701	Android 6.0.0_marshmallow
16423519	iOS 2361
16434734	OS X 10.751.184
16506979	Android 4.2.2-HiSTBAndroidV500R001C00CP0005
16558795	iOS 42.8277
16618526	Android 6.3.16
16660054	Android 0196398135
16728980	Android 12-20-7-2
16752203	Mobile iOS 14.6.0
16781061	iOS 42.7803
16797652	iOS 12..1059
16868424	OS X 20.1.0
16913334	iOS 13.5.11
17033243	PlayStation 4 OS 9.66
17072595	iOS 10.2388
17106833	Android 4.9.
17165934	iOS 761
17172779	iOS 31.10379
17282070	iOS 10.3.0
17326317	Android 3.8.7
17365854	Android 5.1.4856
17437607	iOS 20.4196
17490446	iOS 37.5250
17491129	iOS 50.19769
17565248	Android 1AJB
17750971	iOS 12.10871
17791110	Android 8.1.0Redmi
17824384	Windows NT 3861
17838772	iOS 4361
17887436	Android Cyberus
17958608	Android 01.00.09
18203871	iOS 46.20542
18235993	iOS 35.23399
18280486	Android 03.07.1995
18311951	iOS 38.3207
18315264	Android 89285251294
18332793	OS X 9.89
18382116	Android 20.0.0
18405991	iOS 11..187
18441196	iOS 30.12455
18465641	iOS 36.25721
18513572	Windows NT 3243
18547286	OS X 10.53.0
18574850	Mobile OS X 11.2.4
18646008	OS X 6.5.8
18703529	Windows NT 3283
18887270	Android 7.0.6-RS-20191216
18901830	OS X 15.20.6
19010439	Android 10.02
19068402	Android 8.8.0
19095013	iOS 3478
19198748	iOS 27.971
19281755	OS X 13.9.4
19322728	iOS 6432
19361755	Rex DG26
19372296	Android 2.2.1pro
19390282	iOS 26.31827
19395873	iOS 15.4392
19408889	iOS 12.9360
19429466	Symbian 2.8
19437700	iOS 2146
19447482	iOS 40.32413
19569124	iOS 12..899
19665658	iOS 33.12785
19679036	Android 12.4
19752337	iOS 13.18729
19798958	iOS 39.29332
19831092	OS X 77.7.8
19893691	Android 4.85
19940903	iOS 34.10130
19955166	iOS 30.10671
19991570	Android 6.0ar-mr
20002225	Android 3.4.67
20010844	Mobile iOS 15.0.2
20082790	iOS 119
20171747	Linux - openSUSE 1.1.12-0
20260718	Android 2.0.0-R-20161023
20316093	Android 1339228.0
20574323	Android 6.1.8-RS-20220118
20632474	Android 3.0.1-R-20160930
20804017	Linux - Fedora 4.14.30-2
20863660	OS X 8.3.7
20915097	Android 4.7.1901
20939146	Android Aple
21031225	iOS 49.27007
21057634	iOS 11..448
21095456	iOS 3.12
21193222	iOS 20.15552
21199744	OS X 7.6.1
21207953	iOS 14.32577
21322510	iOS 44.22354
21351406	iOS 17.13650
21370316	Android 4.4.2en-USGT-N5100KOT49H
21385021	Windows 10 NT 10.0.17040
21440184	iOS 34.4247
21441420	iOS 43.24961
21454336	iOS 29.17035
21454470	Android null
21478748	Android 99
21657056	iOS 23.23082
21752241	iOS 34.12297
21757692	iOS 29.17185
21762605	OS X 6.66
21770610	OS X 10.36.3
21820118	iOS 13.31103
21834536	iOS 12.27737
21838706	iOS 10109
21847765	Android 1.7.4-R-20150120
21900887	iOS 6.18
21904086	iOS 37.17688
21919288	iOS 7592
21971697	iOS 36.24377
22123947	iOS 38.21294
22148479	iOS 17.15807
22363000	Android 153.228.1337
22403930	iOS 4049
22479767	iOS 7853
22601881	iOS 15.18572
22616071	iOS 12.31345
22848503	iOS 10537
22925983	OS X 10.537.326
22956598	iOS 40.14195
23033255	iOS 11..515
23041610	iOS 6225
23050622	iOS 37.3.5
23149539	iOS 12..544
23188499	iOS 39.31177
23233454	iOS 10251
23287390	iOS 38.29005
23338336	iOS 21.7613
23343824	Android 6.0.1es-mx
23344637	Android 9.0.0-RS-20220804
23420133	OS X 13.79
23423392	iOS 3975
23482549	iOS 47.244
23518019	Android 5.1.1en-USRedmi
23519451	Android 20.0-ALP.
23528740	Android 9999999.99999999.999999999
23562496	Android 2.1.0-R-20160824
23568036	iPadOS 14.6.9
23601335	iOS 3960
23602489	iOS 5.2.5
23607718	Android 5.1en-ZAHUAWEI
23616257	iOS 4777
23625627	iOS 19.28441
23667344	iOS 6996
23670290	iOS 70.0
23680529	iOS 1699
23730819	OS X 13.5.9
23755689	OS X 24.5
23781970	iOS 3762
23821054	Android 12.25.8
23852094	iOS 43.8690
23917047	Android 2.3.6LA4
23982710	OS X 6.27
23997276	OS X 1.45
24132159	iOS 5.0.1373
24185149	OS X 10.178.6
24222038	OS X 10.92.8
24226437	OS X 11.361
